Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Reconnecting Homeless Adolescents and Their Families: Correlates of Participation in a Family Intervention,"Milburn, N.G.; Klomhaus, A.M.; Comulada, W.S.; Lopez, S.A.; Bath, E.; Amani, B.; Jackson, J.; Lee, A.; Rice, E.; Semaan, A.; Kim, B.-K.E.","Behavioral family interventions are an effective way to intervene to prevent negative developmental outcomes for adolescents. Participation in family interventions encompasses behavioral and cognitive/attitudinal dimensions, among others, indicated by retention and engagement, respectively. Two dimensions of participation, retention and engagement, in a family intervention were examined in a sample of newly homeless adolescents and their parents or guardians. Correlates of participation included parents with more income and less perceived family conflict and adolescents with higher endorsement of depression, anxiety, somatization, obsessive-compulsive, phobic, and psychotic symptoms on the Brief Symptom Inventory (BSI). Stronger therapeutic alliance was correlated with being more distressed (i.e., lower income, more hostility), being a female adolescent participant, and having greater comfort discussing sex with parents. Furthermore, parents and adolescents with greater distress and thus greater need were more apt to finish the intervention. The finding that families who were experiencing more distress had higher alliance scores suggests that there is an additional need for development of interventions for families in crisis. Both participant and provider perceptions are also important in development of a strong therapeutic alliance. This study’s findings have implications for further exploration of the development of cultural humility and improving mental health literacy among facilitators of behavioral interventions. © 2020, Society for Prevention Research.",2020,,Prev. Sci.,21,8,1048-1058,,10.1007/s11121-020-01157-9,,#1562,Milburn 2020,,
An Adapted Life Skills Empowerment Program for Homeless Youth: Preliminary Findings,"Sisselman-Borgia, A.","Homeless youth are a difficult to reach subgroup of homeless individuals who require a unique level of intervention given their specific vulnerabilities as young people. They experience higher levels of trauma than their housed counterparts and lack parental guidance around concrete life skills as well as emotional support. This article provides a description of the adaptation process of a pilot life skills empowerment program designed to help homeless youth integrate successfully into the community by providing life skills training, emotional support, and social justice awareness. Youth participated in twice weekly group sessions and one-to-one mentoring with community volunteers. The adapted program was piloted in 3 cycles with small groups totaling 20 youth over the course of 18 months. Mixed methods were used to evaluate youths’ experiences in the program. While the sample size was too small to detect statistical significance, scores on validated measures (Antonovsky’s Sense of Coherence measurement tool and the Post-Traumatic Check-list Civilian version) demonstrated improvements in coping and sense of coherence and decreases in trauma symptoms. Qualitative findings supported the quantitative trends, demonstrating that youth felt more confident and hopeful about their futures, were able to set goals for themselves, and begin training programs and jobs. Youth were also able to develop trusting and meaningful relationships with mentors, staff, and peers. Implications for future program development and practice, future research, and social services education are discussed. © 2021 Taylor & Francis Group, LLC.",2021,,Child Youth Serv.,42,1,43-79,,10.1080/0145935X.2021.1884542,,#1600,Sisselman-Borgia 2021,,
A multilevel intervention framework for supporting people experiencing homelessness with pets,"Kerman, N.; Lem, M.; Witte, M.; Kim, C.; Rhoades, H.","Approximately one in 10 people experiencing homelessness have pets. Despite the psychosocial benefits derived from pet ownership, systemic and structural barriers can prevent this group from meeting their basic needs and exiting homelessness. A multilevel framework is proposed for improving the health and well‐being of pet owners experiencing homelessness. Informed by a One Health approach, the framework identifies interventions at the policy, public, and direct service delivery levels. Policy interventions are proposed to increase the supply of petfriendly emergency shelters, access to market rental housing and veterinary medicine, and the use of a Housing First approach. At the public level, educational interventions are needed to improve knowledge and reduce stigma about the relationship between homelessness and pet ownership. Direct service providers can support pet owners experiencing homelessness by recognizing their strengths, connecting them to community services, being aware of the risks associated with pet loss, providing harm reduction strategies, documenting animals as emotional support animals, and engaging in advocacy. By targeting policies and service approaches that exacerbate the hardships faced by pet owners experiencing homelessness, the framework is a set of deliberate actions to better support a group that is often overlooked or unaccommodated in efforts to end homelessness. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.",2020,,Animals,10,10,18-Jan,,10.3390/ani10101869,,#1641,Kerman 2020,,
Programming ideas for youth experiencing homelessness,"Forstadt, L.; Yuan, S.; Ashurst, K.; Scheer, M.; Myers, S.; Wallace, H.S.","This article provides an overview of some of the demographics of youth experiencing homelessness and examples of how Cooperative Extension is working with this population around the country. A discussion of the needs of this population is provided, along with strategies for how Extension can connect with current efforts to reach youth experiencing homelessness to build resilience. Data are summarized from a webinar for Extension professionals. Education in this area is worthwhile to youth development professionals who may be interested in designing new programs, expanding current programs, finding new program partnerships, and using programs to support youth experiencing homelessness. Local and national-level programs that are designed to reach youth experiencing homelessness are highlighted. The structure and resources of the Cooperative Extension system nationwide are ideal to provide supplementary support to youth experiencing homelessness in a variety of settings. This article is an invitation to expand this conversation and further explore the needs of youth experiencing homelessness and Extension's capacity to respond. © New articles in this journal are licensed under a Creative Commons Attribution 4.0 License. This journal is published by the University Library System, University of Pittsburgh and is cosponsored by the University of Pittsburgh Press. The Journal of Youth Development is the official peer-reviewed publication of the National Association of Extension 4-H Youth Development Professionals and the National AfterSchool Association.",2021,,J. Youth Dev.,15,6,252-271,,10.5195/JYD.2020.803,,#1650,Forstadt 2021,,
At the nexus of two terrains: a critical ethnographic case study of an afterschool center for homelessness,"Pavlakis, A.E.","Little work examines the nexus of student homelessness and afterschool provision. This critical ethnographic case study of organizational culture draws from observation, documents, and interviews with youth experiencing homelessness, staff, and volunteers at a community-based afterschool center for youth experiencing homelessness. It explores how the center straddled the discourses and ideologies inherent in both the student homelessness and afterschool terrains. The center built close connections between and amongst youth and staff and fostered wide-ranging community collaborations, which allowed it to connect youth to various resources and offer flexible programming. Yet, it also suffered from contradictions and tensions in its framing of parents, youth, homelessness, and race. These strengths and weaknesses reflected the center’s position at the nexus of both homelessness and afterschool. Implications for research, policy, and practice are discussed. © 2020 Informa UK Limited, trading as Taylor & Francis Group.",2021,,Int. J. Qual. Stud. Educ.,34,2,125-144,,10.1080/09518398.2020.1735558,,#1651,Pavlakis 2021,,
Supporting Female Survivors of Gender-Based Violence Experiencing Homelessness: Outcomes of a Health Promotion Psychoeducation Group Intervention,"Bani-Fatemi, A.; Malta, M.; Noble, A.; Wang, W.; Rajakulendran, T.; Kahan, D.; Stergiopoulos, V.","Homelessness is an important risk factor for gender-based violence (GBV), particularly among youth, and disproportionally affects women and girls. Survivors of GBV experience enduring and severe physical, psychological, and sexual health problems. Although key elements in service delivery for survivors of GBV have been identified, little is known about outcomes of community-based programs aiming to assist homeless and unstably housed youth experiencing GBV. This longitudinal study aimed to quantitatively evaluate changes in mental health and well-being outcomes in female identified youth experiencing GBV and homelessness, 12 months after enrolment in a community-based, trauma-informed, brief group psychoeducation intervention. Standardized survey measures were administered at baseline, 6 and 12 months for 70 participants, recruited between February 2017 and April 2019, assessing quality of life, psychological distress, traumatic symptoms, substance use, resilience, victimization, and sense of mastery. Linear mixed models were used to examine longitudinal changes in quality of life as well as secondary outcomes among study participants. After 12 months, quality of life increased significantly among participants (p = 0.009), and the 12-month victimization score was significantly decreased relative to baseline (p = 0.05). Changes in other outcomes were not statistically significant. Findings suggest that community-based brief group psychoeducation interventions may be a promising approach to improving outcomes for this disadvantaged population. © Copyright © 2020 Bani-Fatemi, Malta, Noble, Wang, Rajakulendran, Kahan and Stergiopoulos.",2020,,Front. Psychiatry,11,,,,10.3389/fpsyt.2020.601540,,#1654,Bani-Fatemi 2020,,
Clinical Trial of an AI-Augmented Intervention for HIV prevention in Youth Experiencing Homelessness,"Wilder, B.; Onasch-Vera, L.; Diguiseppi, G.; Petering, R.; Hill, C.; Yadav, A.; Rice, E.; Tambe, M.","Youth experiencing homelessness (YEH) are subject to substantially greater risk of HIV infection, compounded both by their lack of access to stable housing and the disproportionate representation of youth of marginalized racial, ethnic, and gender identity groups among YEH. A key goal for health equity is to improve adoption of protective behaviors in this population. One promising strategy for intervention is to recruit peer leaders from the population of YEH to promote behaviors such as condom usage and regular HIV testing to their social contacts. This raises a computational question: which youth should be selected as peer leaders to maximize the overall impact of the intervention? We developed an artificial intelligence system to optimize such social network interventions in a community health setting. We conducted a clinical trial enrolling 713 YEH at drop-in centers in a large US city. The clinical trial compared interventions planned with the algorithm to those where the highest-degree nodes in the youths' social network were recruited as peer leaders (the standard method in public health) and to an observation-only control group. Results from the clinical trial show that youth in the AI group experience statistically significant reductions in key risk behaviors for HIV transmission, while those in the other groups do not. This provides, to our knowledge, the first empirical validation of the usage of AI methods to optimize social network interventions for health. We conclude by discussing lessons learned over the course of the project which may inform future attempts to use AI in community-level interventions. Copyright © 2021, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved",2021,,"35th AAAI Conference on Artificial Intelligence, AAAI 2021",17A,,14948-14956,,,,#1657,Wilder 2021,,
Redesign of a homelessness service system for young people,"MacKenzie, D.; Hand, T.; Zufferey, C.; McNelis, S.; Spinney, A.; Tedmanson, D.","Children and young people (aged 12–25 years) are one of the largest cohorts of users of homelessness services: in 2017–2018, there were 81,193 young parents and accompanying children (28%) and 43,200 young people presenting alone (16%). • Children and young people, as well as ‘people exiting institutions and care into homelessness’ are priority cohorts under the National Housing and Homelessness Agreement (NAHA; 2018), and this is carried over into most of the state and territory strategies and plans. • The redesign of the youth homelessness services system is best conceptualised at the community level, as the ‘system’ where interaction between young people and services—including schools—actually takes place. • Thinking about the ‘community as system’ means that small-area data analysis of need, trends and outcomes should be developed into community-level focussed planning of the ecosystem of supports required by vulnerable young people. • There is a strong case in theory—and from practical experimentation—for adopting a system reform agenda that makes the shift from a program-oriented approach to a place-based cross-sectoral ‘collective impact’ framework for support and service delivery for at-risk and homeless young people. • A systemic implementation of a place-based community approach to early intervention involving proactive identification of risk, a tiered practice framework, an extended workforce of youth and family workers, and school welfare/wellbeing staff working under a formal collaboration and within a strong data-driven outcomes framework will begin to reduce the flow of young people into homelessness. • A policy imperative is to fund the development of youth-specific social housing options that provide the appropriate levels of support that young people need, while scaling up rents over time as young people progress through education or training and gain access to employment. • A systemic needs-based implementation of the Home Stretch agenda, which advocates the extension of support for all care-leavers until 21 years, would have a significant impact on a major stream of vulnerable youth becoming homeless. © 2020 Australian Housing and Urban Research Institute. All rights reserved.",2020,,AHURI Final Rep.,,327,,,10.18408/ahuri-5119101,,#1717,MacKenzie 2020,,
Navigating Housing Instability and Substance Use: Hidden Tensions Facing Youth in Small Town America,"Curry, S.R.; Samuels, G.M.; Cerven, C.; Dworsky, A.","Recent scholarship indicates that youth homelessness is a significant problem outside urban areas. However, previous studies have not examined how local contexts shape the experiences of youth who are homeless in rural areas and small towns with high rates of poverty and epidemic drug use. To address this gap, this analysis draws from two components of a large national study of homelessness among youth, using data collected in a small non-urban setting in the Northwest including (1) a subset of 41 (out of 215 nationally) in-depth interviews with youth and (2) a subset of 16 surveys (out of 523 nationally) with service providers. We explored availability of services and how youth navigate housing instability and the service landscape in small communities. We discovered that current or prior addictions sometimes posed risks to the safety of youth and compromised their ability to rely on family supports–a support proving critical in the absence of a formal service infrastructure. Our results suggest that youth experiencing housing instability in the context of high rates of drug use and limited formal services must often choose between meeting competing needs: a place to stay versus sobriety. We discuss the implications for policy, practice, and research. © 2019, © 2019 Taylor & Francis Group, LLC.",2020,,J. Soc. Serv. Res.,46,3,361-378,,10.1080/01488376.2019.1575322,,#1757,Curry 2020,,
Provider perspectives of housing programs for young adults experiencing homelessness,"Semborski, S.; Redline, B.; Rhoades, H.; Henwood, B.","Objective: Qualitative methods were used to investigate the perspectives of service providers working in Permanent Supportive Housing, Transitional Living Programs, and Rapid Rehousing for young adults who have experienced homelessness. The primary aim was to explore how housing models were designed, implemented, and the extent to which there is variability in how providers approach their work with young adults. Methods: Data come from 26 housing service providers purposively sampled from supportive housing providers across the United States between October 2017 and July 2018. Interview transcripts were analyzed using a comparative case summary approach, grouped by program model. Results: Three themes emerged from the qualitative analysis related to how specific housing models were developed (Stranded between systems: “No model to follow”), the strategies that providers took to support residents toward independence and self-sufficiency (Working toward independence and self-sufficiency: “No one-sized approach”), and the various roles that individual providers discussed fulfilling in their work with young adults (Shifting roles: “Whatever type of figure is needed”). Discussion: While the overarching goals of supportive housing span across housing models, the methods and philosophies of service delivery differ, mirroring the programmatic structure of the model. Results point to a competing philosophies approach to housing as it delivers different philosophically oriented programming models for similar youth through Transitional Living Programs, Permanent Supportive Housing, and Rapid Rehousing models. © 2020 Elsevier Ltd",2020,,Child. Youth Serv. Rev.,112,,,,10.1016/j.childyouth.2020.104898,,#1767,Semborski 2020,,
In search of employment: Tackling youth homelessness and unemployment,"Axe, J.; Childs, E.; Manion, K.","At a time when homelessness, inequality and poverty plague Canadian society, an organization in Whistler, British Columbia has been working for over 20 years to combat some of the associated issues faced by vulnerable youth. This multi-year research project explored one of the programs offered by the organization with the intent of gaining an understanding of the short- and long-term impact, the future requirements for sustainability and growth, and the alignment of the program to local and regional needs. Through a series of focus groups, qualitative data was collected and, while the focus of the research project fell across the identified program foci of housing, employment, participant experience, and support, this article focuses specifically on the findings related to employment. The five themes that were identified in the data collected included: participants’ context, processes to support accountability, contributors to success, challenges, and participants’ suggestions for improvement. Across these themes and sub-themes, it was clear that stable employment is a necessary component of a comprehensive program that supports youth as they build resilience and combat homelessness. © 2020 Elsevier Ltd",2020,,Child. Youth Serv. Rev.,113,,,,10.1016/j.childyouth.2019.104704,,#1790,Axe 2020,,
Study protocol for a group-based motivational interviewing brief intervention to reduce substance use and sexual risk behavior among young adults experiencing homelessness,"Tucker, J.S.; D'amico, E.J.; Pedersen, E.R.; Rodriguez, A.; Garvey, R.","Background: Young people experiencing homelessness have alarmingly high rates of alcohol and other drug (AOD) use, which is associated with sexual risk behaviors such as unprotected sex, trading sex, and sex with multiple casual partners. Few risk reduction programs for this population have been developed and rigorously evaluated, particularly those that address both of these interrelated behaviors, use a collaborative and non-judgmental approach, and are feasible to deliver in settings where homeless young people seek services. This paper describes the protocol of a study evaluating a four-session Motivational Interviewing (MI)-based group risk reduction intervention for this population. The protocol has been shown to be efficacious in pilot work over 3 months with 200 homeless young adults [1]. The current study seeks to refine the intervention protocol and evaluate the program on a larger scale. Methods/design: In a cluster-cross-over randomized controlled trial, 18-25 year olds will receive the AWARE risk reduction program (n = 200) or standard care (n = 200) at one of three drop-in centers serving homeless youth in the Los Angeles area. We will evaluate intervention effects on primary outcomes of AOD use and sexual risk behavior, as well as secondary outcomes of health-related quality of life and social stability, over a 12-month period. Discussion: This project has the potential to fill a significant gap in prevention services by demonstrating that a brief intervention, feasible to deliver within settings where young people experiencing homelessness typically seeks services, can significantly reduce the interrelated problems of AOD use and sexual risk behavior. Trial registration ClinicalTrials.gov Identifier: NCT03735784. Registered November 18, 2018, https://clinicaltrials.gov/ct2/show/record/NCT03735784 (retrospectively registered)  © 2020 The Author(s).",2020,,Addict. Sci. Clin. Pract.,15,1,,,10.1186/s13722-020-00201-x,,#1793,Tucker 2020,,
Family network satisfaction moderates treatment effects among homeless youth experiencing suicidal ideation,"Wu, Q.; Zhang, J.; Walsh, L.; Slesnick, N.","Objective: Limited research has evaluated the efficacy of suicide prevention interventions among homeless youth, especially considering how their connectedness with their family would impact treatment outcomes. Method: Suicidal homeless youth (N = 150) between the ages of 18–24 years were recruited from a local drop-in center. Youth were randomly assigned to Cognitive Therapy for Suicide Prevention (CTSP) + Treatment as Usual (TAU) or Treatment as Usual alone. Youth reported their family network satisfaction at the baseline assessment, whereas their suicidal ideation, perceived burdensomeness and thwarted belongingness were assessed at baseline and three additional times during a nine-month period. Results: A multiple-group autoregressive cross-lagged model suggests that CTSP was associated with lower suicidal ideation and lower thwarted belongingness only among those with high family network satisfaction. Among both groups, perceived burdensomeness predicted higher suicidal ideation, which in turn predicted lower perceived burdensomeness and thwarted belongingness. Additionally, only among youth with low family network satisfaction, thwarted belongingness predicted lower suicidal ideation. Conclusions: Findings suggest that family network satisfaction may be an important factor when considering cognitive interventions with homeless youth, with implications to improve treatment efforts and to reduce premature mortality, hospitalization and loss of human capital in a very high-risk population. © 2019 Elsevier Ltd",2020,,Behav. Res. Ther.,125,,,,10.1016/j.brat.2019.103548,,#1811,Wu 2020,,
Cognitive Therapy for Suicide Prevention: A Randomized Pilot with Suicidal Youth Experiencing Homelessness,"Slesnick, N.; Zhang, J.; Feng, X.; Wu, Q.; Walsh, L.; Granello, D.H.","Homeless youth have extremely high rates of suicidal ideation and attempts, but limited research has evaluated the efficacy of suicide prevention interventions. Suicidal homeless youth (N = 150) between the ages of 18 to 24 years were recruited from a local drop-in center. Of interest was (1) whether the proposed sample of eligible youth could be identified, (2) whether youth could be engaged and retained in the prevention intervention, and (3) whether the intervention was associated with reduced suicidal ideation, our primary outcome measure. In particular, youth were randomly assigned to Cognitive Therapy for Suicide Prevention (CTSP) + Treatment as Usual (TAU) (N = 75) or TAU alone (N = 75). Findings showed that the proposed sample of eligible youth could be identified and engaged in the study, and all youth showed a significant decline in suicidal ideation over time, with a faster decline among youth assigned to CTSP. These findings suggest that (1) at-risk suicidal youth can be identified and engaged outside of hospital emergency rooms, such as in drop-in centers, and (2) intervention added to TAU can strengthen reductions in suicidal ideation. Ultimately, attention towards reducing suicide risk among these youth has the potential to reduce premature mortality, hospitalization and loss of human capital. © 2019, Springer Science+Business Media, LLC, part of Springer Nature.",2020,,Cogn. Ther. Res.,44,2,402-411,,10.1007/s10608-019-10068-1,,#1817,Slesnick 2020,,
Implementing a trauma-informed intervention for homeless female survivors of gender-based violence: Lessons learned in a large Canadian urban centre,"Kahan, D.; Lamanna, D.; Rajakulendran, T.; Noble, A.; Stergiopoulos, V.","Gender-based violence is associated with an elevated risk of physical and psychological harm for girls and women. This study examines service user and provider experiences of a trauma-informed, peer-facilitated group psychosocial intervention (Peer Education and Connection through Empowerment [PEACE]) targeting female-identified youth experiencing homelessness and gender-based violence. Participants were recruited among service users and providers of the intervention, delivered in Toronto, Canada. We conducted 19 semi-structured interviews between May and October 2017, engaging 12 service users and 7 additional stakeholders (including social service providers, peers and program administrators). We elicited participant perspectives on the acceptability of the intervention and key enablers of successful implementation and engagement of the target population. Qualitative transcripts were analysed using thematic analysis. Service users, including survivors of sexual exploitation, forced marriage and honour crimes, described satisfaction with and acceptability of the intervention. A number of factors were perceived by service users and providers as contributing to the intervention's successful implementation, including a focus on service user needs, program quality, flexibility and accessibility and strong inter-and intra-agency networks. Introducing peers as mentors led to challenges that could be mitigated through peer mentor education and training to maintain healthy boundaries and enhance peer mentor retention. The need for clear guidelines on the management of trauma disclosures in community settings and a systems-wide approach to service provider and administrator training in the effective integration of peer support services also emerged as important areas for future development. A group-based, trauma-informed and peer-supported psychosocial intervention was acceptable to service users and providers and successfully engaged female-identified survivors of gender-based violence who were also experiencing homelessness. Findings add to the scant knowledge base on interventions to support this population and identify important areas for future research. © 2019 John Wiley & Sons Ltd",2020,,Health Soc. Care Community,28,3,823-832,,10.1111/hsc.12913,,#1836,Kahan 2020,,
Ode’imin giizis: Proposing and piloting gardening as an indigenous childhood health intervention,"Johnson-Jennings, M.; Paul, K.; Olson, D.; Labeau, M.; Jennings, D.","The Research for Indigenous Community Health Center and the American Indian Housing Organization sought to reduce obesity among Indigenous children and families in a Northern Midwestern urban community who are at risk for homelessness by piloting a gardening health intervention. This community-based participatory research, mixed-methods study examined the feasibility of gardening as an obesity intervention among a school-aged Indigenous population at risk for homelessness through using focus groups, key informant interviews, and valid health measures. The program was found highly feasible and fulfilled a critical need among Indigenous youth and their families, who reportedly suffered from food insecurity and access. This intervention increased healthy food awareness and perceptions, cultural resources, and ancestral food knowledge skills through activities, mentorship, and multigenerational engagement. This study augments the literature on the feasibility of using tribal ecological knowledge and the environment in designing culturally appropriate health interventions. © Meharry Medical College.",2020,,J. Health Care Poor Underserved,31,2,871-888,,10.1353/hpu.2020.0066,,#1859,Johnson-Jennings 2020,,
Assessing and treating complex mental health needs among homeless youth in a shelter-based clinic,"Winiarski, D.A.; Rufa, A.K.; Bounds, D.T.; Glover, A.C.; Hill, K.A.; Karnik, N.S.","Background: Rates of homelessness have been increasing in recent years, thereby necessitating a more direct approach to treating this complex social problem. Homeless youth have disproportionately high rates of untreated mental health problems and are therefore particularly vulnerable to the effects of homelessness during the transition period from adolescence to adulthood. Methods: The study team developed a shelter-based clinic and collected clinical measures on youth who attended this clinic from October 2016 through June 2018. Results: Youth attended an average number of three sessions, but there was a significant drop in follow-up after the first (intake) appointment. Depression, anger, and adjustment disorder emerged as the most common presenting mental health concerns identified by clinicians in the intake appointment, and trauma was identified as a significant complaint for those youth who returned for a second session. Conclusion: Mental health care is needed in this population, but future studies should explore alternative approaches to retaining homeless youth in treatment and in designing targeted trauma-informed interventions. © 2020 The Author(s).",2020,,BMC Health Serv. Res.,20,1,,,10.1186/s12913-020-4953-9,,#1865,Winiarski 2020,,
Smartphone application plus brief motivational intervention reduces substance use and sexual risk behaviors among homeless young adults: Results from a randomized controlled trial,"Thompson, R.G.; Aivadyan, C.; Stohl, M.; Aharonovich, E.; Hasin, D.S.","Homeless young adults are more likely than their never-homeless counterparts to abuse substances and engage in sexual risk behaviors. This study evaluated the feasibility and preliminary effectiveness of OnTrack, a smartphone application to self-monitor substance use and sexual risk behaviors, plus a brief motivational intervention (BMI), in reducing substance use and sexual risk among homeless young adults. A randomized controlled pilot trial (N = 60) compared OnTrack + BMI to treatment as usual (TAU) at an inner-city crisis shelter for homeless young adults (aged 18-21 years). Participants were assessed at baseline and 2 weeks, 4 weeks, and 6 weeks after baseline to evaluate substance use and sexual risk behaviors. Kruskal-Wallis tests determined differences between baseline and postintervention assessments. Logistic regression models examined treatment effect on change in outcomes between baseline and postintervention follow-up assessment, controlling for baseline levels. Participants in OnTrack + BMI significantly reduced past 2-week number of drinks (p =.023), times used marijuana (p =.046), times engaged in unprotected sex (p =.012), and times used drugs before sexual activity (p =.019). No reductions of substance use or sexual risk behaviors were found among participants in TAU (all ps >.05). After adjusting for baseline levels of substance use and sexual risk, participants in OnTrack + BMI had significantly lower odds than those in TAU for drinking alcohol (adjusted OR = 0.14; p =.01) and having unprotected sex (adjusted OR = 0.151; p =.032). OnTrack + BMI is feasible and effective in reducing past 2-week alcohol use and unprotected sex among homeless young adults. A larger randomized trial is warranted to replicate and extend present results. © 2020 American Psychological Association.",2020,,Psychol. Addict. Behav.,34,6,641-649,,10.1037/adb0000570,,#1870,Thompson 2020,,
Specialized assertive community treatment intervention for homeless youth with first episode psychosis and substance use disorder: A 2-year follow-up study,"Doré-Gauthier, V.; Miron, J.-P.; Jutras-Aswad, D.; Ouellet-Plamondon, C.; Abdel-Baki, A.","Aim: No previous study has investigated interventions for homeless youth suffering from first episode psychosis and comorbid substance use disorder (HYPS). An intensive assertive community intervention team (IACIT) offering outreach interventions, housing support as well as integrated care for early psychosis and substance use disorder (SUD) was created in 2012 at the Centre Hospitalier de l'Université de Montréal (CHUM). To explore the impact of the addition of an IACIT to an early intervention for psychosis service (EIS) on housing stability, functional and symptomatic outcomes and mental health service use. Methods: A two-year longitudinal study comparing the outcome of HYPS receiving combined EIS and IACIT since 2012, to a historical cohort of HYPS receiving EIS only between 2005 and 2011. Socio-demographic data, housing stability, functioning, illness severity, SUD severity, emergency room visits and hospitalizations were assessed at admission, at 1 month, and every 3 months thereafter. Results: HYPS receiving EIS + IACIT achieved housing stability more rapidly and spent less time hospitalized than HYPS getting EIS only (RR 2.38, P =.017). HYPS with cocaine misuse were less likely to attain housing stability (RR 0.25, P =.04). No between-group differences were found for psychiatric symptoms, functioning and SUD outcomes. Conclusion: The addition of IACIT-HYPS to EIS was associated with earlier housing stability and reduced total hospitalization days compared to EIS alone. © 2019 John Wiley & Sons Australia, Ltd",2020,,Early Intervent. Psychiatry,14,2,203-210,,10.1111/eip.12846,,#1891,Doré-Gauthier 2020,,
"Holistic, trauma-informed adolescent pregnancy prevention and sexual health promotion for female youth experiencing homelessness: Initial outcomes of Wahine Talk","Aparicio, E.M.; Kachingwe, O.N.; Phillips, D.R.; Fleishman, J.; Novick, J.; Okimoto, T.; Kaleipumehana Cabral, M.; Ka'opua, L.S.; Childers, C.; Espero, J.; Anderson, K.","Female youth experiencing homelessness are at high risk for pregnancy due to a host of individual, family, and community-level risk factors. This embedded mixed-method quasi-experimental pilot study examined the initial outcomes of Wahine (woman) Talk, a comprehensive sexual health program delivered by an interdisciplinary team to female youth experiencing homelessness. Wahine Talk includes provision of and connection to basic needs resources, peer mentoring, group based sexual health education, and linkage to and provision of sexual health care. Process and outcome data were collected throughout and for six months after Wahine Talk from a diverse group of 14–22-year-old female youth (N = 51) experiencing homelessness. In-depth individual and focus group interview data were collected from providers and youth after Wahine Talk, and analyzed using Template Analysis. Over half (62.7%) of participants were linked to sexual health care during Wahine Talk and birth control usage tripled following the program. Depo-Provera and long acting reversible contraception (LARC) usage, in particular, increased during Wahine Talk (1–19% and 0–25.5%, respectively). Within six months, 31.4% of youth had adopted LARC and 3.9% were using Depo-Provera. Individual and focus group interviews with providers and youth affirm program acceptability and appropriateness. © 2019 Elsevier Ltd",2019,,Child. Youth Serv. Rev.,107,,,,10.1016/j.childyouth.2019.104509,,#1926,Aparicio 2019,,
Food insecurity among formerly homeless youth in supportive housing: A social-ecological analysis of a structural intervention,"Brothers, S.; Lin, J.; Schonberg, J.; Drew, C.; Auerswald, C.","A growing body of research indicates that structural interventions to provide permanent supportive housing (PSH) to homeless adults within a Housing First approach can improve their health. However, research is lacking regarding the impact of PSH on youth experiencing homelessness. This article seeks to understand how PSH for youth impacts a basic health need—food security— across multiple levels of the social-ecological environment. In January of 2014, San Francisco, California opened the city's first municipally-funded PSH building exclusively designated for transition-aged youth (ages 18–24). We conducted 20 months of participant observation and in-depth interviews with 39 youth from April 2014 to December 2015. Ethnographic fieldnotes and interview transcripts were analyzed using grounded theory. We present our social-ecological assessment regarding food insecurity for formerly homeless youth in supportive housing. We found that although housing removes some major sources of food insecurity from their lives, it adds others. Many of the participating youth were frequently hungry and went without food for entire days. Mechanisms across multiple levels of the social-ecological model contribute to food insecurity. Mechanisms on the structural level include stigma, neighborhood food resources, and monthly hunger cycles. Mechanisms on the institutional level include the transition into housing and housing policies regarding kitchen use and food storage. Interpersonal level mechanisms include food sharing within social networks. Individual level mechanisms include limited cooking skills, equipment, and coping strategies to manage hunger. Although supportive housing provides shelter to youth, effective implementation of the Housing First/PSH model for youth must ensure their access to an affordable nutritious diet. © 2019 Elsevier Ltd",2020,,Soc. Sci. Med.,245,,,,10.1016/j.socscimed.2019.112724,,#1929,Brothers 2020,,
A Promising Route Towards Improvement of Homeless Young People’s Access to Mental Health Services: The Creation and Evolution of an Outreach Service Network in Montréal,"Morisseau-Guillot, R.; Aubin, D.; Deschênes, J.-M.; Gioia, M.; Malla, A.; Bauco, P.; Dupont, M.-È.; Abdel-Baki, A.","Youth homelessness is a complex phenomenon as well as an important public health issue often compounded by mental illness of varying severity, in turn creating numerous deleterious consequences. While emergency health services usage remains high, access to mental health services is arduous and conventional interventions often fall short on providing integrated care and seldom lead to sustained positive outcomes for this group. From this observation, clinicians in Montreal, Canada, initiated collaborative meetings, eventually attended by a growing number of institutional and community stakeholders working with homeless youth. Acknowledging the unique needs of this population, the Réseau d’intervention de proximité auprès des Jeunes de la Rue (RIPAJ) or Montreal Homeless Youth Network was created to engage and seamlessly connect youth with the right resources within the network including mental health services amongst others. The genesis, philosophy and unique features of RIPAJ that allow for effective and cohesive interventions as well as future directions are discussed. © 2019, Springer Science+Business Media, LLC, part of Springer Nature.",2020,,Community Ment. Health J.,56,2,258-270,,10.1007/s10597-019-00456-y,,#1951,Morisseau-Guillot 2020,,
